Call External ID,Contact External ID,Adviser,Booked At,Slot,Topic,Status,Notes,Input Changes
P00002-C1,P00002,Adviser 03,2025-10-07T10:02:03+05:30,2025-10-13T15:00:00+05:30,Something changed,completed,Walked through something changed; next step agreed.,bucket_guilt_free
P00010-C1,P00010,Adviser 02,2026-05-07T16:07:07+05:30,2026-05-09T16:30:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed. No input changes; the plan is unchanged.,
P00010-C2,P00010,Adviser 02,2026-07-07T08:59:08+05:30,2026-07-14T11:30:00+05:30,Using the app,completed,Walked through using the app; next step agreed. No input changes; the plan is unchanged.,
P00012-C1,P00012,Adviser 05,2026-04-28T13:43:07+05:30,2026-05-01T18:00:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed.,partner_take_home; take_home
P00022-C1,P00022,Adviser 04,2026-06-14T20:50:32+05:30,2026-06-19T17:00:00+05:30,Something changed,completed,Walked through something changed; next step agreed. No input changes; the plan is unchanged.,
P00035-C1,P00035,Adviser 06,2026-05-26T16:08:23+05:30,2026-05-30T19:00:00+05:30,My numbers,completed,Walked through my numbers; next step agreed. No input changes; the plan is unchanged.,
P00035-C2,P00035,Adviser 04,2026-07-06T17:39:07+05:30,2026-07-08T11:00:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed.,bucket_fixed; home_value
P00042-C1,P00042,Adviser 06,2026-05-30T09:11:49+05:30,2026-05-31T12:30:00+05:30,My numbers,completed,Walked through my numbers; next step agreed. No input changes; the plan is unchanged.,
P00056-C1,P00056,Adviser 06,2026-06-11T20:31:58+05:30,2026-06-14T19:30:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed. No input changes; the plan is unchanged.,
P00068-C1,P00068,Adviser 06,2026-06-23T16:07:35+05:30,2026-06-29T17:30:00+05:30,Using the app,completed,Walked through using the app; next step agreed. No input changes; the plan is unchanged.,
P00085-C1,P00085,Adviser 02,2026-06-19T00:42:51+05:30,2026-06-25T16:00:00+05:30,The investments and why they were chosen,no_show,,
P00085-C2,P00085,Adviser 03,2026-06-27T02:31:29+05:30,2026-06-30T10:30:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed. No input changes; the plan is unchanged.,
P00090-C1,P00090,Adviser 03,2026-09-17T15:50:09+05:30,2026-09-19T18:00:00+05:30,The investments and why they were chosen,no_show,,
P00090-C2,P00090,Adviser 04,2026-09-20T08:44:06+05:30,2026-09-21T16:00:00+05:30,The investments and why they were chosen,no_show,,
P00156-C1,P00156,Adviser 01,2026-09-12T16:00:09+05:30,2026-09-14T18:00:00+05:30,My numbers,no_show,,
P00156-C2,P00156,Adviser 02,2026-09-16T16:32:57+05:30,2026-09-19T18:00:00+05:30,My numbers,no_show,,
P00199-C1,P00199,Adviser 01,2026-07-21T14:25:06+05:30,2026-07-24T19:30:00+05:30,My plan,completed,Walked through my plan; next step agreed.,bucket_guilt_free; bucket_fixed
P00202-C1,P00202,Adviser 04,2026-09-22T16:00:15+05:30,2026-09-29T19:30:00+05:30,Something changed,booked,,
P00318-C1,P00318,Adviser 06,2026-08-05T02:04:59+05:30,2026-08-06T17:00:00+05:30,Using the app,completed,Walked through using the app; next step agreed.,
P00340-C1,P00340,Adviser 05,2026-09-22T04:20:02+05:30,2026-09-23T19:30:00+05:30,My plan,booked,,
P00361-C1,P00361,Adviser 06,2026-08-17T00:21:00+05:30,2026-08-18T19:30:00+05:30,My plan,completed,Walked through my plan; next step agreed.,
P00411-C1,P00411,Adviser 06,2026-09-10T22:54:21+05:30,2026-09-14T10:30:00+05:30,Using the app,completed,Walked through using the app; next step agreed. No input changes; the plan is unchanged.,
P00428-C1,P00428,Adviser 03,2026-09-13T12:56:08+05:30,2026-09-15T16:00:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed.,
